framework                        , test                                                         , time    
Royale SH2                       , triangle                                                     , 101.73  
Royale SH2                       , unstable                                                     , 73.22   
Royale SH2                       , molBench                                                     , 32.93   
Royale SH2                       , cellx1000                                                    , 19.51   
Royale SH2                       , cellx2500                                                    , 42.42   
Royale SH2                       , 2-10x5 - lazy80%                                             , 739.47  
Royale SH2                       , 6-10x10 - dyn25% - lazy80%                                   , 337.38  
Royale SH2                       , 4-1000x12 - dyn5%                                            , 770.93  
Royale SH2                       , 25-1000x5                                                    , 873.62  
Royale SH2                       , 3-5x500                                                      , 230.41  
Royale SH2                       , 6-100x15 - dyn50%                                            , 364.54  
Royale SX2                       , createSignals                                                , 95.87   
Royale SX2                       , createComputations                                           , 1062.64 
Royale SX2                       , updateSignals                                                , 3264.68 
Royale SX2                       , avoidablePropagation                                         , 608.24  
Royale SX2                       , broadPropagation                                             , 1059.02 
Royale SX2                       , deepPropagation                                              , 376.29  
Royale SX2                       , diamond                                                      , 664.25  
Royale SX2                       , mux                                                          , 538.56  
Royale SX2                       , repeatedObservers                                            , 71.64   
Royale SX2                       , triangle                                                     , 230.63  
Royale SX2                       , unstable                                                     , 96.55   
Royale SX2                       , molBench                                                     , 34.23   
Royale SX2                       , cellx1000                                                    , 49.98   
Royale SX2                       , cellx2500                                                    , 164.01  
Royale SX2                       , 2-10x5 - lazy80%                                             , 1480.27 
Royale SX2                       , 6-10x10 - dyn25% - lazy80%                                   , 717.32  
Royale SX2                       , 4-1000x12 - dyn5%                                            , 1900.91 
Royale SX2                       , 25-1000x5                                                    , 3014.95 
Royale SX2                       , 3-5x500                                                      , 699.63  
Royale SX2                       , 6-100x15 - dyn50%                                            , 896.65  
Royale SM1                       , createSignals                                                , 60.28   
Royale SM2                       , createSignals                                                , 7.43    
Royale SM2                       , createComputations                                           , 950.93  
Royale SM2                       , updateSignals                                                , 1894.63 
Royale SM2                       , avoidablePropagation                                         , 511.77  
Royale SM2                       , broadPropagation                                             , 680.04  
Royale SM2                       , deepPropagation                                              , 269.37  
Royale SM2                       , diamond                                                      , 517.49  
Royale SM2                       , mux                                                          , 384.45  
Royale SM2                       , repeatedObservers                                            , 54.22   
Royale SM2                       , triangle                                                     , 172.94  
Royale SM2                       , unstable                                                     , 78.30   
Royale SM2                       , molBench                                                     , 33.53   
Royale SM2                       , cellx1000                                                    , 42.19   
Royale SM2                       , cellx2500                                                    , 140.90  
Royale SM2                       , 2-10x5 - lazy80%                                             , 1113.26 
Royale SM2                       , 6-10x10 - dyn25% - lazy80%                                   , 791.37  
Royale SM2                       , 4-1000x12 - dyn5%                                            , 1765.65 
Royale SM2                       , 25-1000x5                                                    , 2659.22 
Royale SM2                       , 3-5x500                                                      , 511.83  
Royale SM2                       , 6-100x15 - dyn50%                                            , 1160.85 
