framework                        , test                                                         , time     , gcMinorN     , gcMinorMs    , gcMajorN     , gcMajorMs    , gcIncrN      , gcIncrMs     , gcWeakN      , gcWeakMs     , peakHeapMb   , peakExtMb    , peakArrMb    , peakTotalMb  , peakRssMb    , floorMb      , floorDeltaMb
Alien Signals                    , unstable                                                     , 38.38    , 4            , 1.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 50.03        , 6.50         , 0.13         , 56.66        , 387.76       ,              ,             
Alien Signals                    , molBench                                                     , 33.33    , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 40.66        , 6.50         , 0.13         , 47.29        , 387.88       ,              ,             
Alien Signals                    , cellx1000                                                    , 11.78    , 1            , 1.6          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 43.54        , 6.50         , 0.13         , 50.17        , 388.01       ,              ,             
Alien Signals                    , cellx2500                                                    , 27.58    , 1            , 11.9         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 59.87        , 6.50         , 0.13         , 66.50        , 388.26       ,              ,             
Alien Signals                    , 2-10x5 - lazy80%                                             , 276.41   , 19           , 13.6         , 1            , 1.2          , 0            , 0.0          , 0            , 0.0          , 65.71        , 6.50         , 0.13         , 72.34        , 388.38       ,              ,             
Alien Signals                    , 6-10x10 - dyn25% - lazy80%                                   , 195.79   , 9            , 3.7          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 65.72        , 6.50         , 0.13         , 72.35        , 388.38       ,              ,             
Alien Signals                    , 4-1000x12 - dyn5%                                            , 417.33   , 15           , 23.1         , 1            , 2.0          , 1            , 0.3          , 0            , 0.0          , 80.75        , 6.50         , 0.13         , 87.38        , 388.38       ,              ,             
Alien Signals                    , 25-1000x5                                                    , 659.38   , 3            , 16.1         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 74.52        , 6.50         , 0.13         , 81.15        , 387.36       ,              ,             
Alien Signals                    , 3-5x500                                                      , 139.67   , 9            , 5.5          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 71.90        , 6.50         , 0.13         , 78.53        , 387.36       ,              ,             
Alien Signals                    , 6-100x15 - dyn50%                                            , 232.31   , 8            , 5.4          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 79.31        , 6.50         , 0.13         , 85.94        , 387.36       ,              ,             
Cosignals                        , createSignals                                                , 2.08     , 8            , 37.8         , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 58.90        , 8.60         , 2.49         , 65.53        , 254.42       ,              ,             
Cosignals                        , createComputations                                           , 201.39   , 71           , 1046.9       , 8            , 63.2         , 8            , 4.2          , 0            , 0.0          , 221.46       , 6.50         , 0.13         , 228.09       , 395.96       ,              ,             
Cosignals                        , updateSignals                                                , 824.30   , 23           , 242.1        , 1            , 13.4         , 1            , 0.5          , 0            , 0.0          , 122.54       , 6.50         , 0.13         , 129.16       , 388.80       ,              ,             
Cosignals                        , createSignals (pair)                                         , 0.71     , 1            , 1.1          , 0            , 0.0          , 0            , 0.0          , 0            , 0.0          , 125.37       , 6.50         , 0.13         , 132.00       , 394.97       ,              ,             
Cosignals                        , createComputations (pair)                                    , 245.11   , 66           , 1194.3       , 6            , 82.6         , 7            , 4.7          , 0            , 0.0          , 256.90       , 6.50         , 0.13         , 263.53       , 473.86       ,              ,             
Cosignals                        , updateSignals (pair)                                         , 931.27   , 21           , 201.2        , 2            , 6.7          , 1            , 0.9          , 0            , 0.0          , 121.09       , 6.50         , 0.13         , 127.72       , 473.66       ,              ,             
